git-bash,C:\Program Files\Git\git-bash.exe,00:00:00,Saturday
chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,00:05:24,Saturday
devenv,C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\devenv.exe,00:03:09,Saturday
brave,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,00:04:05,Saturday
